review_clean,language,sentiment_score,sentiment_label,source
loads of monkeys all over the places from little babies to old ones watch your things as they have a tendency to steal your stuff we left our things at the entrance but saw a lady have a bag taken off with her with pills and make up wrapped in plastic so careful what you take out a few temples in the forest which are worth seeing i wouldn t come back but glad i saw it once,en,-0.5223484635353088,negative,digital_tourism
perfect accommodation for couples or solo travelers with amazing service incredible views and top service the free pick up service from the yellow bridge was also very helpful totally recommended for solo travelers or even group of friends as well because they have a few bedroom units,en,0.8133856654167175,positive,bali_hotel
the temple is beautiful situated on a rock the nature sea and beach around the temple is amazing,en,0.8604606986045837,positive,digital_tourism
lovely sunset but waves are just too high to enjoy a swim you can simply walk down the beach romantic view but most beaches are dirty since waves are high drafts more garbage to the shore,en,-0.8536673784255981,negative,digital_tourism
it s not often to find the perfect horseshoe beach with inviting warm blue waters to swim in well this is it the beach is outlined by hand end resort properties stayed at the laguna resort spa loved it,en,0.6644681692123413,positive,digital_tourism
this place is bliss our second visit and will be back again rooms are great good prices on food and the staff are amazing nice quiet retreat if you re looking for some good r r thank you again to richard and the staff at rama ciandidasa spa and resort,en,0.8052546381950378,positive,bali_hotel
on the first day of our first holiday in bali sj i had to visit monkey forest which we had been looking forward to for a long time at entry each we had a great or so hours wandering around the sanctuary at our own pace and in awe of the number of monkeys and their antics the place was busy but we found corners of the park that we very peaceful apart from the noise of birds and of course the inhabitants who are there to look after the temple the public were very respectful of the rules clearly displayed and the only real trouble was caused by the monkeys chasing each other and the older ones rightly commanding their position in the hierarchy whilst the monkeys can t be stroked or given food a few of the younger ones did venture on to us bali is value for money and this attraction was no exception a great half day wandering aimlessly around taking 100s of photos and just enjoying the antics on these sacred animals,en,0.33858218789100647,positive,digital_tourism
one of the most amazing places i have visited in bali the monkeys were really friendly and not harmful we have carried and feed them the the forest was incredible as in one of lord of the rings movies or something we had a great time,en,0.7561815977096558,positive,digital_tourism
this was a beautiful beach but was by no means quiet and secluded there was a lot of trash on the beach and in the water but that s just the way it is in bali tons of tourists very crowded beach the sunrises were absolutely amazing though,en,-0.6693434715270996,negative,digital_tourism
this temple is one to put on the must do list when in bali great views everywhere you look awesome postition for a temple lots of monkeys we paid au for a guide to take us around he answered our questions told us lots of info about the temple he also carried a sling shot to pea shoot the monkeys if they came too close monkeys carry rabies so we preferred not to have them come too near sunset would be amazing here the nightly dances inside the temple would be a highlight too if you have time we unfortuatley didn t due to time limits on our trip but definately next time,en,0.3523358106613159,positive,digital_tourism
i come here only for dinner because it place so crowded if we come in the afternoon we can choose one of cafe here with some food inside,en,0.0,neutral,digital_tourism
you cant enter the place but you still have to pay the full entrance fee maybe visit a month later but now its a waste of your money,en,-0.8934874534606934,negative,digital_tourism
we went with high hopes of it being fantastic so many people had told as its a must see well six of us went and when we got there our first thoughts were this looks alright nice setting right on the beach so we picked a restaurant and sat ourselves down on the beach the views were nice and you could watch the planes landing we were that close to the airport we order a drink and then you went indoors to order your fish they had quite a few choices when you chose what you wanted it was weighed and you were given a piece of paper with what it cost so you pay by weight in other words don t get carried away it is pricey it was nice food and the scenery and setting was nice until it started thundering and raining so half way through our meal we had to grab our food and run for cover we only had a choice of a dirty old bench to sit at the toilets were the worse i ve ever seen and according to the guys the men s weren t any better the bill was way too high for what we ate i would say you are paying for the fact that your sat on a chair on the beach when we were waiting for our taxi the manager did ask us how was our night we told him although the food was nice it was very expensive the setting was nice but they really need to renovate their toilets they were disgusting especially as this was a eating facility he seemed to take it on board would i go again or recommend it no too far out pricey and dirty you can eat at much nicer places in kuta seminyak for a lot less and generally it s cleaner we actually traveled in march i ve been asked to finish this review and september was as far back as i could go,en,0.44698476791381836,positive,digital_tourism
the water was clear the weather beautiful so many fish and crabs and water pools a delight to relax,en,0.8821564316749573,positive,digital_tourism
we really enjoyed the morning spent here monkeys are everywhere and so cute and friendly it was very humid and hot so bring water and very light clothes recommended,en,0.8592686653137207,positive,digital_tourism
we were visiting this place as a bart of bigger day long trip so we wasn t having too much tome there but i think it was enough for us we have seen apes they were calm and not interested in visitors so there was no threat from them we took a walk in the park what for me was more interesting than apes there is a lot of nice sculptures small temples and everything is nicely composed in the rain forest environment overall i can recommend it but not as a separate trip but just a stop to take a look and move on to next point,en,0.4481690526008606,positive,digital_tourism
we had our resort right on the nusa dua beach it is a beautiful beach with many resorts on it nice place to relax and you can enjoy all kinds of water sports except sea walking scuba diving and snorkeling for these activities you need to go to nearby islands nusa penida and nusa lembongan,en,0.6358203291893005,positive,digital_tourism
entrance is 30k rupiah you must see this place when in the area please beware the monkeys are really mischievous but if you follow the rules you should be fine we watched one girl behave really poorly separate a mom from her baby and try to touch the baby never do this the mother was upset and gave a warning bite to the girl we watched stunned that this girl would do this please take a moment to read one of the many many signs that tell you how to behave around the monkeys if you do this they will in turn respect you you can buy bananas round the park to feed the monkeys do visit some of the temples as they are really beautiful sort of an indiana jones style look,en,-0.646971583366394,negative,digital_tourism
the sunrise hike is essentially a queue of hundreds of tired tourists scrabbling their way up a steep slippery horrible path akin to a scratchy sand dune with loose rocks all the way up trying to hold onto a torch at the same time whilst the guides are good in showing the way and helping those who struggled it is not a hike to be taken lightly and i ve climbed a lot of mountains good footwear is essential as is plenty of layers of clothing it is freezing at the top and no where to shelter you are held up there for too long and aren t allowed to leave when you want you have to wait for the guides the breakfast is extra cost for a banana sandwich and a boiled egg which isn t cooked in the volcano steam but on a fire but because it s so darn cold you have to buy it i just held the egg to warm my hands just a little bit the return walk is again slippery and tough going and all you want to do is get off the mountain but you have to go and visit the monkeys and the steam cave and the crater etc etc and the guides just won t let you go on your own in the car park at the bottom the tour company which is different to the guides tried to fit too many people in the cars and wouldn t listen when we said no in the end we stood our ground and only took as many people as there were seat belts and finally after much stress and tension we managed to get off the hill and back to our hotels all in all not a great experience and the three stars are for the view at the top which was pretty special although not exactly the place for quiet contemplation with the thousand other tourists up there with you,en,-0.5160661935806274,negative,digital_tourism
in my opinion sanur beach is just average there are nice restaurants and a lovely board walk where you can cycle however the beach itself is not that great it s not kept very clean and there is not much space for swimming low tide until the reef not sure if it s only this time of the year or always in any case bali is a wonderful place for a lot of reasons but don t expect the wow factor at sanur beach,en,-0.49973157048225403,negative,digital_tourism
this is a really fun place to visit i could watch these monkeys forever but prepare first remove all items form your pockets that could anyhow look interesting to monkeys or is of any value put it in your bag and use a ziplock or tie the zips together the monkeys are pretty smart opening pockets and bags seems not to be a problem for them i eyewitnessed several cases of monkeys stealing belongings from people protect your camera and the things that are attached to it battery memory card lenscap and so on and your watch as well also they might get angry if you don t hand them over the things they want to steal i had one incident myself when one of the elder monkeys tried to steal my water bottle when he realised that i holded on to it that animal got angry and bit me check the status of your rabies vaccination before i had quite some hassle getting the proper medication afterwards the doctor of my countries embassy suggested to fly out to singapore for treatment,en,0.35354799032211304,positive,digital_tourism
jero was super guide has a million of knowledge about volcano and his beautiful island over times climbing mount batur and he was really care to both of us i every single step he jero pull us up and always support us to made or trip to the top he also really encouraging because of that we made it and conquer mt batur although it was a hard and long walk of about two hours on a small path it was worth the pain the sunrise really beautiful and he jero sever us delicious breakfast such as boiled egg in volcanic steam banana sandwich hot coffee and also grapes fruits we saw a guard of volcano monkeys who live in the crater we really enjoy every step of this adventure and highly recommended bal trekking tour net own by jero and he jero to everyone as your guide in bali,en,0.4352588355541229,positive,digital_tourism
it s a very nice place but the monkeys are everywhere outside in front of the gate one monkey attacked to my husband to take the coffee he was holding and he gave it because he was scratching his clothes but the forest inside its very nice with lot of monkeys and clean paths and a very nice bridge to take nice photos if you are following the rules not touching the animals and no feeding you will be ok especially the kids because we saw a girl crying because a monkey was bite her,en,-0.4660158157348633,negative,digital_tourism
we arranged a day trip from ubud to visit this great temple and it was well worth it a unique style temple with steps over a pond full of fish they have as well a natural pool to try and a lovely restaurant on site i recommend to buy a lot of fish food bags before entering and you will have lovely photos with to s of fish,en,0.7454812526702881,positive,digital_tourism
good place to escape the hot sun for an hour lots of monkeys doing monkey business there are also a few nice animal shaped statues along the path worth a visit while in ubud,en,0.7415503263473511,positive,digital_tourism
overall it was great the service location facilities and breakfast quality the pools are awesome they just need to be more vigilant with the breakfast plates there were leftover stains on some of the plates,en,0.4744267463684082,positive,bali_hotel
a lovely place to walk round and see monkeys hanging about and playing in teh park they are free to roam around and are very interested in people and inquisitive of your belongings so be careful the park keepers ensure that the monkeys are well fed which keeps them attached to teh park a much better environment than a zoo if you ask me,en,0.511960506439209,positive,digital_tourism
i was enyojng a peaceful relaxing and very beautiful stay at this stylish boutique hotel exellent fresh and light food i love their no waste philosophy the team makes you feel like at home treat you like family,en,0.8033056855201721,positive,bali_hotel
well worth a trip here take your bathers to enjoy the crystal clear spring waters if you read a tour guide magazine you do not need a guide as they can offer you no more information than you read anyway and the man that attached himself to us was rude,en,-0.7967498898506165,negative,digital_tourism
the beach is nice but it is polluted it is not the best place to swim the waves are very strong there are some parts where sea pulls you into the ocean please be careful and don t go far from beach when you try to rest in the beach many sellers try to sell things and never let you alone,en,-0.8544293642044067,negative,digital_tourism
my husband and i had a wonderful seven nights at maya sanur our room the nest was gigantic with a bathroom to die for so cosy being up among the tree tops breakfast buffet was delicious with so many choices and a great latte the pool was small but adequate for a cool down and very clean the location was the best in sanur with plenty to do around the area and the gardens a dream especially the rooftop,en,0.7203773856163025,positive,bali_hotel
beautiful beach with strong waves which i have never experienced before besides it s relatively safe as there are alot of restaurants around however there are no changing cubicles or showers,en,0.6699755191802979,positive,digital_tourism
we visited maya sanur with the family of five the youngest child being we stayed for nights we really appreciated the location of the hotel it was in between the two more busy parts of the sanur beach which made it easy for us to choose direction when wanting to eat or rent a sup for example the hotel was very clean and the rooms was nicely designed comfortable beds and good bathroom we stayed in a room with direct access to the small lagoon the hotel has many rooms but the hotel itself is not very big mainly the pool and the restaurants the garden therefore remind me more of a boutique hotel,en,0.40207207202911377,positive,bali_hotel
this is an extremely popular tourist destination and the whole area is often very busy indeed especially in the late afternoons pre sunset the magnificent temple perched on a rock just a few metres offshore views of the temple and the sunset behind it are outstanding,en,0.6983879804611206,positive,digital_tourism
don t miss the uluwatu temple when you visit bali indonesia enjoy the breathtaking view from the top best to visit the place during sunset enjoy the view plus the naughty monkeys in the area just be careful and take care of your belongings watch also the stage play at sunset,en,0.5492569208145142,positive,digital_tourism
on the bright side hotel staff were a joy as they smiled constantly and tried their best to help you the dark side is they don t always get it right i contacted hotel before i arrived to arrange a taxi to pick me up at airport and was told no problem when we got there no one was waiting and as we didn t want to walk away spent half an hour looking at other drivers boards to no avail got airport taxi to hotel showed the girl receptionist e mail confirming pick up and was told we would get upgraded to executive room next day as apology girl was not on duty next couple of days so that didn t happen either the problem with the hotel is location you need a taxi to go anywhere as kuta and seminyak are to far to walk but the taxis are cheap if you can get a metered one to put his meter,en,0.0,neutral,bali_hotel
we have stayed here many times now which is a testament to the excellent service quality for money and the convenient location of this hotel we regard the staff here as part of our balanise family and nothing is too much trouble for them we highly recommend the mercure bali legian,en,0.7272576093673706,positive,bali_hotel
nice walk through the forest with monkeys everywhere they generally left you alone unless you feed them a purchased banana then they climb all over you including sitting on your head bit much for me but they were cute and friendly not aggressive seemed to like to pose for pictures,en,0.3787691593170166,positive,digital_tourism
i guess it s the most busiest beaches in bali i see a lot of local connect like the sanur and unlike the nusa dua beach it s pretty hot in october so you have to carry what ever is necessary,en,0.0,neutral,digital_tourism
i think this is one of the three most beautiful temple in bali the others are tanah lot and pura danu bratan just be careful with the monkeys they stole my sunglasses and they can be a bit aggressive sometimes avoid to bring anything that they can steal you,en,-0.6428794860839844,negative,digital_tourism
clean beach but watch out for the waves and tides they are quite high and if you are not a good swimmer i wouldn t even suggest going in water is clean though and the sand is free of rocks and shells that hurt your feet,en,-0.8771846294403076,negative,digital_tourism
good for an hour or so walk around i wouldn t swim there but there are some fun stepping stones grab a drink at the restaurant and enjoy the view from the bar stools on the right hand side overlooking the gardens to the sea beyond on a clear day,en,0.6081180572509766,positive,digital_tourism
it was a hours ride to tanah lot but it is worth it the view at the seaside was beautiful there was a temple there but it was high tide no one can get across the strong waves kept rushing in and out before walking to the seaside there are alot of shops somewhat selling almost the same thing,en,0.5867599844932556,positive,digital_tourism
sanur beach is far more peaceful than kuta with its beachfront restaurants and much calmer surf sanur beach is far less hectic than kuta beach and it s also a lot smaller also welcome in sanur is the fact that there are less vendors to harass yo as you re working on your tan,en,0.4301639795303345,positive,digital_tourism
maybe we went the wrong time of year beach was dirty and not somewhere i d like to swim better beaches in australia,en,-0.8984554409980774,negative,digital_tourism
our group of four spent a delightful hour walking through the monkey forest there is certainly no lack of monkeys and some can be playful while others can be downright mean the setting is quite nice and there are enough local people around to be sure that nothing really bad happens to you be prepared for the monkeys to jump on you and perhaps even grab your sunglasses all in all worth the small fee for some great photos,en,0.3765315115451813,positive,digital_tourism
seminyak beach is one of the more hipster beaches bali has enjoy the swing and watch sunset be aware you are on time,en,0.6841322779655457,positive,digital_tourism
a night stayed at jambu inn family hotel about a mins walked away from sanur beach although nothing much to offer from sanur beach but lying on the beach dining beside the beach was a wonderful romantic experience still done a half day snorkeling trip to manta point to c a manta ray swimming so close to me and withness this huge puppy was really amazing,en,0.5944238901138306,positive,digital_tourism
we were fortunate to have a personal tour guide so we covered all the interesting places with on going commentary lovely monkeys and the walk around the sanctuary was very pleasant our guide said that if you don t have a banana and the monkey hops on you you are likely to be peed on and thus the money considers you a friend sure enough we saw it happening make sure you keep your hands open because the monkey will know that you haven t got anything especially food anything is fair game we saw a monkey take a water bottle off a lady having said that they are largely friendly and they leave you alone lovely place to visit,en,0.0,neutral,digital_tourism
we visited their dava restaurant for our anniversary and we also visited rock bar on different nights these are a must make sure you book food drinks service views are all exemplary you won t be disappointed,en,0.6063070297241211,positive,bali_hotel
this definitely had lesser people than the kuta beach but still was quite crowded its a long beach and a must visit if you are in seminyak we spent the evening having dinner at one of restaurants along the beach even though the food wasn t great the ambiance and sitting on those comfy informal seating where you can lie down and gaze at the sky and the stretching horizons was a memorable experience,en,0.5693132877349854,positive,digital_tourism
ok beach like mexico it will disappear in a few years terrible cheap restaurants i won t go there ever again,en,-0.9489045143127441,negative,digital_tourism
the monkey forest is a great place to relax enjoy nature and at the same time have some fun with all the residents who steal the show don t miss it,en,0.8696664571762085,positive,digital_tourism
an amazing temple sitting on the cliff a must visit if you are in uluwatu beautiful sunset and stunning views there are also monkeys jumping around and not harmful,en,0.7543411254882812,positive,digital_tourism
this is a stars resort that is right in the heart of kuta we stayed here for night in the end of june the resort is clean and the rooms are very nice we upgraded to the swim out room during our stay my advice if you are upgrading to the swim out room make sure that it is on the sunny side our room was not and the pool was too cold we ended up using the main pool because it was much warmer the breakfast buffet was massive,en,0.46618449687957764,positive,bali_hotel
when high tide it s nice yellow sand not white beach but during low tide there is no more swimming or any water activities,en,-0.5146539807319641,negative,digital_tourism
what a place it is amazing uluwatu temple is present on huge cliff overlooking the dark blue sea the view is breathtaking and can easily spend an hour or so just looking at the view and doing nothing else the place hosts daily shows for the balinese traditional kecak dance this is performed in an amphitheater with the background of the beautiful sea around the sunset time it is best to collect the tickets as early as possible as the seats are limited and there is only one show performed every evening lovely view and beautiful kecak dance makes it a special place and a must visit,en,0.6422722339630127,positive,digital_tourism
pleasant beach for a walk cleaner than we were expecting over all worth a visit but unless you like big crowds on bean bags and constant interruption by touts you will probably only visit once cafes and bars dearer that in town and not as good we went once for a daytime walk and once for a sunset after that we had no reason to return its a personal choice,en,-0.47851794958114624,negative,digital_tourism
the forest is lush and the monkeys are damn cute well worth the trip if you like animals the cool thing is the monkeys are all just hanging out free range they re not caged up at all my advice though is to read all the instructions we didn t my partner got a little take away gift from one of the smaller monkeys yup a bite on the shoulder she said it hurt but she didn t care as they were too cute to be grumpy at i think we were grinning at them way too much anyway loads of fun even after a little nibble,en,-0.46300920844078064,negative,digital_tourism
we visited there at the raining day however the temple is beautiful and traditional it s beside the lake,en,0.5174099802970886,positive,digital_tourism
it s one of the places that you should see in ubud it s located in the main town of ubdu good to walk around and take some photos i don t recommended feeding the monkeys overall worth a visit,en,0.6631940603256226,positive,digital_tourism
i ve visited this place a few times in my life first time i went here was like years ago the entry is now rp 40k but i still think it s worth to go here at least once if you are in bali for a short holiday especially if you like nature the forest is lush and the air is so refreshing i enjoy the fact that smoking is not allowed in the area the best time to go is early morning because there s less traffic and the monkeys are just fed so they are more mellow i see a couple of tourists teasing the monkeys with bananas making the monkeys hyped up and running around bad idea i think that s why the monkeys have gotten more and more aggressive towards visitors don t bring anything with you if you can especially not plastic bags and water bottles if you have long hair keep it in a bun i got a teenager monkey jumped on my shoulder then tugging and nibbling on my hair maybe it liked the smell of my shampoo it also tried to open the zipper of my backpack it was a funny experience but had it been one of the bigger sized monkeys i would probably be terrified the key is to remain calm and not scream at them just lower yourself and try to get them to jump off to the ground or a tree branch my parents in law enjoyed their first visit as well all in all a nice place for a morning stroll but keep in mind to always be respectful and be aware of your belongings,en,0.5571245551109314,positive,digital_tourism
this only our 3rd visit to bali but after trying a few different spots along the stretch of beach from ku de ta in seminyak to marriot at legian in our view the beach directly in front of chez gado gado is our favorite water is clear surf is good for beginners to intermediate lounge chair hire for a pair is usually 50k per hour and surfboard hire the same the old guy selling bintang water and soft drinks will run a tab the ice cream vendor calls past regularly and if you need cheap eats you have a good selection on the beach nearby or alternatively can go more upmarket with gado gado contrastingly the seminyak end near ku de ta has poor surf the water is murky and contains quite a bit of rubbish and the beach vendors charge more saying it is seminyak if you enjoy the beach and swimming surfing and have teenagers the gado gado area is the spot for you,en,0.0,neutral,digital_tourism
simply amazing in every way the style calm beauty views and the friendliness and helpfulness of the lovely owner and her staff we wouldn t stay anywhere else possibly the nicest place we ve ever stayed and we travel quite a bit our room the dragon room was immaculate and beautifully decorated very charm full would like my apartment at home to be decorated like this the fresh and crisp pool surrounded by a deck to chill cool down and soak up some sun great food all super fresh and healthy and tasting amazing the chef is excellent and all request are fulfilled the hotel is also a great base to explore the north of bali s coast and it s mountain area hope to be back soon,en,0.8107699751853943,positive,bali_hotel
very relaxing because the hawkers aren t allowed there only downside was having to get the shuttle from the hotel,en,-0.5800207853317261,negative,digital_tourism
just leaving a review for those coming here to check on animal care i don t visit zoos enclosures on principal due to animal treatment but heard positive things about this sanctuary so decided to see the monkeys basically own the forest not the people they are happy well fed and well looked after there are no fences and can leave if they wish to it s a great place to check out the animals in a natural habitat even though they are quite tame definitely worth going to to see a monkey or two even without the monkeys it s a stunning small jungle forest in the middle of ubud lovely to walk around,en,0.4900786578655243,positive,digital_tourism
such an amazing zoo the landscapes are magnificent but the animal encounters are also worth watching went in the morning we have chance to enjoy the breakfast with orang utan massive selections of food in the meantime you can take photos with orang utans elephants and birds staff are typical balinese hospitality makes you feel like home tickets are reasonable the only zoo in bali you are allowed to bring your own water and snacks very recommended,en,0.7552378177642822,positive,digital_tourism
thanks to all the staff at the mercure bali legian hotel this is my first post for you guys i thought it was time i wrote a review for you i have been a regular visitor to your hotel since you opened i think it is about 5yrs ago now but who s counting up to times a year staying for weeks on end my wife and i feel it is our second home outside of brisbane australia you treat us like family and give us the royal treatment each stay it would be impossible to think of staying anywhere else we travel a lot around the world but have never found a hotel like yours where do i start to thank individual staff members for your friendship over the years you are all so special so many good staff at one hotel it s a credit to all of you these are just a few that come to,en,-0.39131787419319153,negative,bali_hotel
our 2nd visit to the forest but first with kids they loved it and it is great to see them in action playing fighting and feeding but and it s a big but the traffic is terrible the bananas you buy are 5x the price of the market up the road and you have to be wary as the monkeys are not all friendly,en,-0.5405730605125427,negative,digital_tourism
truly one of the most beautiful beaches i have seen looks amazing from the top beautiful down the bottom the beach is completely enclosed by high cliffs the pathway down is extremely steep and rough don t even consider going down unless you are fit and agile my family stayed up top to enjoy the amazing views while i went to the bottom if you are brave enough to reach the beach it is definitely worth it beautiful water and sand incredible scenery could have stayed all day down wasn t hard for me but the climb back up was tough loveliest beach on the island imo don t miss it,en,0.7009567618370056,positive,digital_tourism
great beach very clean and great to swim in can get anything in the beach to do such as jet sky etc you don t get bugged by the local sellers,en,0.7071882486343384,positive,digital_tourism
we stayed for weeks minutes walk away from the beach at kudeta beach club each time we came out on the beach it did not cease to amaze we walked in the shallows most mornings and evenings and it was clean so much cleaner than the very public beach of kuta legian which we did once at the end of our stay in seminyak there seem to be more expatriates who live in the area and try to keep this beach clean one would see them walking along picking up bits of rubbish not that there ever was that much to pick up i enjoyed the beach at low and high tide and anywhere in between also the beach sellers which we met near sunset are a friendly bunch,en,-0.40248236060142517,negative,digital_tourism
for rupiah usd it s a must do if you are in ubud we went when they opened at and monkeys were everywhere minding their own business and eating as food is passed out we were able to take photos of monkeys up close with no problems however the monkeys can get close and aggressive if you have food a monkey climbed onto me for bananas a small batch of bananas is 20k and a big batch was 50k warning there was an ubiquitous amount of mosquitos everywhere must go,en,-0.5065705180168152,negative,digital_tourism
if you come to bali for relax and take a rest from your daily activity choose this beach area to stay this place is quite peaceful not that crowded from this beach you can watch the sunrise early in the morning you can find a lot people walking in the beach this beach is the right place if you want to take your children swim in the sea because this beach is savely enough for kids cause it has wave break wall so you won t find big wave in this place for shopping activities you can find a lot of souvenir shop resto and some night club even it is not much in other beach area it has jogging track a long the beach so you can run easily in the morning you still can find alot of boat for fishing dog with the owner walking in the morning and people ride bikes from this beach you can also find public boat to across the sea to get to nisa penida island lembongan etc,en,0.41782161593437195,positive,digital_tourism
even they tried to clean the beach in the morning but not every day got lots of plastics on the beach and in the water locals are nice and friendly a peaceful beach sort of,en,-0.4227352738380432,negative,digital_tourism
the mecure is a great hotel in the heart of all the things you could want in bali our room was spacious and cleaned well every day we were happy in our room breakfast has plenty of choice i do have a comment though about the candles burning at breakfast eg the yoghurt pots had a candle burning in the middle of them which made the yoghurt warm several places at the buffet had this and the serving spoon was hot to handle only a small thing but i thought this unnecessary near food as there was no purpose for the candles other than ambience could also become a hazard if someone knocked them as they were the wick in the liq d staff were always welcoming and friendly i had several massages which i can highly recommend we enjoyed the lower pool rather than the rooftop,en,0.0,neutral,bali_hotel
pandawa beach is one of the famous beaches in bali it has unique reef that protect the beach from the massive waves therefore is perfect for water activities like kayaking this beach is very popular with local tourists and school trips it was so busy when we were there you could hire the beach chair and relax and getting your foot massage or enjoy cold beer or fresh coconut,en,0.5337356328964233,positive,digital_tourism
best place for couples to visit not many people around enjoy your time here do visit other beaches too,en,0.6782950758934021,positive,digital_tourism
the best hotel we ve ever stayed in first of all this place is so beautiful everything super clean they re cleaning the room twice a day and the view from the pool is amazing the room stuff was super super nice and no wish was too much cannot recommend this hotel enough,en,0.8142531514167786,positive,bali_hotel
we went to see fire dance it look us an hour and half to reach temple from seminyak due to traffic the views were great the seating for show was tight fit good value only au for ticket but be wary of the fire ending of show it can get a little dangerous fire kicker into audience so not best to sit front row,en,0.44187596440315247,positive,digital_tourism
while this place is touristy it is great that these are wild animals and do as they please yes they are enticed by your food but it is great to see them being cheeky in their natural setting if you give them a banana they ll sit on your head grab it from you entertain you wonderful place to visit,en,0.7549564242362976,positive,digital_tourism
if you are in bali don t miss being there in this awesome place to witness one of the best sunsets views here in bali tanah lot in bahasa means the land of the ocean one of the most famous temples here the rock shore with the high waves complete the sight food is a bet expensive there,en,0.657407283782959,positive,digital_tourism
the moment you land here you will get thousands of tourists everywhere but at the same time the nature s beauty will drag you to become still its a calm and peaceful with evening coming closer all cameras are waiting for a perfect click everyone wants to have a share of beautiful sunset at tanah lot in his memory the food options available here are also of variety and cheap from corn fish to coconut water everything is tasty and worth of price,en,0.4850565195083618,positive,digital_tourism
they are so friendly and cute as well you can take a lot if pictures with them you don not have to be afraid,en,0.8045879006385803,positive,digital_tourism
recently stayed here in a plunge pool room and everything was wonderful the staff were friendly great location great value for money extremely comfortable beds and all the essentials however my husband hurt his back and was unable to walk on the second day the staff were so helpful and couldn t do enough to help us would highly recommend this hotel,en,0.7229242920875549,positive,bali_hotel
this is our 4th time at anvaya and as always we are very happy first time staying since covid and everything is how we remember very nice breakfast nice clean rooms very good size and comfortable bed thank you to ayin for helping us and making sure we are always happy look forward to staying again,en,0.8590298891067505,positive,bali_hotel
scenery wise this is an awesome location to take in the view and pictures however do beware of those pesky monkeys one of the monkeys took one of our glasses and it was later retrieved by a local guide who demanded tips those monkeys were probably trained by them,en,0.0,neutral,digital_tourism
at first we thought we not going to see any but just keep walking and also mind your bags these cheeky little monkeys can open zippers very cute seeing so many mothers with tiny babies which means they are happy cheeky monkeys they can also jump into you and you have to shake them off they don t scratch but they are very brazen well worth the visit,en,-0.4033714532852173,negative,digital_tourism
a variety of eating places with a mix of street food and table service the beach is clean and the sea clear hot during the day but plenty of beds and umbrellas to hire,en,0.5273188352584839,positive,digital_tourism
